Industry Name,ROE
Advertising,16.51%
Aerospace/Defense,21.60%
Air Transport,42.68%
Apparel,17.87%
Auto & Truck,22.05%
Auto Parts,17.54%
Bank,15.03%
Banks (Regional),9.52%
Beverage ,27.62%
Beverage (Alcoholic),18.28%
Biotechnology,6.77%
Broadcasting,74.10%
Brokerage & Investment Banking,9.25%
Building Materials,6.78%
Business & Consumer Services,12.48%
Cable TV,26.62%
Chemical (Basic),8.80%
Chemical (Diversified),24.33%
Chemical (Specialty),22.10%
Coal & Related Energy,-14.66%
Computer Services,39.46%
Computer Software,21.53%
Computers/Peripherals,24.55%
Construction,3.62%
Diversified,13.06%
Educational Services,-0.13%
Electrical Equipment,13.67%
Electronics,7.98%
Electronics (Consumer & Office),25.66%
Engineering,7.61%
Entertainment,17.45%
Environmental & Waste Services,8.28%
Farming/Agriculture,4.82%
Financial Svcs.,15.50%
Financial Svcs. (Non-bank & Insurance),6.45%
Food Processing,15.94%
Food Wholesalers,17.74%
Furn/Home Furnishings,12.99%
Healthcare Equipment,11.87%
Healthcare Facilities,26.29%
Healthcare Products,5.52%
Healthcare Services,13.14%
Heathcare Information and Technology,9.45%
Heavy Construction,22.00%
Homebuilding,32.64%
Hotel/Gaming,4.50%
Household Products,21.68%
Information Services,22.24%
Insurance (General),4.08%
Insurance (Life),6.08%
Insurance (Prop/Cas.),14.34%
Internet software and services,11.75%
Investment Co.,9.68%
Machinery,15.70%
Metals & Mining,6.26%
Office Equipment & Services,19.42%
Oil/Gas (Integrated),18.31%
Oil/Gas (Production and Exploration),6.74%
Oil/Gas Distribution,12.66%
Oilfield Svcs/Equip.,13.18%
Packaging & Container,15.61%
Paper/Forest Products,15.98%
Pharma & Drugs,19.71%
Power,8.70%
Precious Metals,-8.92%
Publshing & Newspapers,7.05%
R.E.I.T.,12.55%
Railroad,19.85%
Real Estate (Development),-4.29%
Real Estate (General/Diversified),1.02%
Real Estate (Operations & Services),19.84%
Recreation,18.03%
Reinsurance,6.05%
Restaurant,27.46%
Retail (Automotive),30.79%
Retail (Building Supply),23.12%
Retail (Distributors),12.92%
Retail (General),17.68%
Retail (Grocery and Food),10.91%
Retail (Internet),18.36%
Retail (Special Lines),17.29%
Rubber& Tires,45.41%
Semiconductor,13.14%
Semiconductor Equip,-1.21%
Shipbuilding & Marine,0.37%
Shoe,24.27%
Steel,-6.67%
Telecom (Wireless),-15.63%
Telecom. Equipment,15.67%
Telecom. Services,5.78%
Thrift,-79.47%
Tobacco,214.71%
Transportation,14.75%
Trucking,16.01%
Utility (General),7.34%
Utility (Water),9.95%
Total Market,15.68%
