Industry Name,Number of firms,ROE
Advertising,65,16.51%
Aerospace/Defense,95,21.60%
Air Transport,25,42.68%
Apparel,70,17.87%
Auto & Truck,26,22.05%
Auto Parts,75,17.54%
Bank,7,15.03%
Banks (Regional),721,9.52%
Beverage ,47,27.62%
Beverage (Alcoholic),19,18.28%
Biotechnology,349,6.77%
Broadcasting,30,74.10%
Brokerage & Investment Banking,49,9.25%
Building Materials,37,6.78%
Business & Consumer Services,-999,12.48%
Cable TV,16,26.62%
Chemical (Basic),47,10000.00%
Chemical (Diversified),10,145.00%
Chemical (Specialty),100,22.10%
Coal & Related Energy,45,-14.66%
Computer Services,129,39.46%
Computer Software,273,21.53%
Computers/Peripherals,66,24.55%
Construction,18,3.62%
Diversified,20,13.06%
Educational Services,40,-0.13%
Electrical Equipment,135,13.67%
Electronics,191,7.98%
Electronics (Consumer & Office),26,25.66%
Engineering,56,7.61%
Entertainment,85,17.45%
Environmental & Waste Services,108,8.28%
Farming/Agriculture,29,4.82%
Financial Svcs.,76,15.50%
Financial Svcs. (Non-bank & Insurance),17,6.45%
Food Processing,97,15.94%
Food Wholesalers,18,17.74%
Furn/Home Furnishings,36,12.99%
Healthcare Equipment,193,11.87%
Healthcare Facilities,47,26.29%
Healthcare Products,58,5.52%
Healthcare Services,126,13.14%
Heathcare Information and Technology,125,9.45%
Heavy Construction,46,22.00%
Homebuilding,32,32.64%
Hotel/Gaming,89,4.50%
Household Products,139,21.68%
Information Services,71,22.24%
Insurance (General),26,4.08%
Insurance (Life),27,6.08%
Insurance (Prop/Cas.),53,14.34%
Internet software and services,330,11.75%
Investment Co.,65,9.68%
Machinery,141,15.70%
Metals & Mining,134,6.26%
Office Equipment & Services,30,19.42%
Oil/Gas (Integrated),8,18.31%
Oil/Gas (Production and Exploration),411,6.74%
Oil/Gas Distribution,80,12.66%
Oilfield Svcs/Equip.,163,13.18%
Packaging & Container,24,15.61%
Paper/Forest Products,21,15.98%
Pharma & Drugs,138,19.71%
Power,106,8.70%
Precious Metals,166,-8.92%
Publshing & Newspapers,52,7.05%
R.E.I.T.,46,12.55%
Railroad,10,19.85%
Real Estate (Development),22,-4.29%
Real Estate (General/Diversified),11,1.02%
Real Estate (Operations & Services),47,19.84%
Recreation,70,18.03%
Reinsurance,3,6.05%
Restaurant,84,27.46%
Retail (Automotive),30,30.79%
Retail (Building Supply),7,23.12%
Retail (Distributors),87,12.92%
Retail (General),21,17.68%
Retail (Grocery and Food),21,10.91%
Retail (Internet),47,18.36%
Retail (Special Lines),137,17.29%
Rubber& Tires,4,45.41%
Semiconductor,104,13.14%
Semiconductor Equip,51,-1.21%
Shipbuilding & Marine,14,0.37%
Shoe,14,24.27%
Steel,37,-6.67%
Telecom (Wireless),28,-15.63%
Telecom. Equipment,131,15.67%
Telecom. Services,82,5.78%
Thrift,223,-79.47%
Tobacco,12,214.71%
Transportation,22,14.75%
Trucking,28,16.01%
Utility (General),20,7.34%
Utility (Water),20,9.95%
Total Market,7766,15.68%
